"Remote Data: Wavelength (nm)","Remote Data: Intensity (rel)"
663.2,0.709117265583
663.8,0.694163424125
664.5,0.699015793088
665.1,0.69066910811
665.8,0.690608072023
666.4,0.685725185016
667.1,0.678828107118
667.8,0.674570840009
668.4,0.679468986038
669.1,0.678812848096
669.7,0.672785534447
670.4,0.663706416419
671.1,0.654489967193
671.7,0.666071564813
672.4,0.667399099718
673,0.655603875792
673.7,0.650949874113
674.4,0.633691920348
675,0.633661402304
675.7,0.642298008698
676.3,0.641458762493
677,0.631631952392
677.7,0.635019455253
678.3,0.615854123751
679,0.629678797589
679.6,0.63065537499
680.3,0.606729228656
681,0.608957045853
681.6,0.612558175021
682.3,0.597451743343
683,0.605981536584
683.6,0.587014572366
684.3,0.567879758907
684.9,0.565560387579
685.6,0.51279468986
686.3,0.414816510262
686.9,0.343892576486
687.6,0.413763637751
688.2,0.439871824216
688.9,0.439429312581
689.6,0.449668116274
690.2,0.466346227207
690.9,0.478370336461
691.5,0.484306095979
692.2,0.483405813687
692.9,0.472098878462
693.5,0.462561989776
694.2,0.468482490272
694.9,0.476112001221
695.5,0.474357213703
696.2,0.501167315175
696.8,0.492576485847
697.5,0.48149843595
698.2,0.495323109789
698.8,0.492927443351
699.5,0.481864652476
700.1,0.488914320592
700.8,0.488624399176
701.5,0.488456549935
702.1,0.504921034562
702.8,0.525703822385
703.4,0.546349279011
704.1,0.538796063172
704.8,0.537514305333
705.4,0.54392309453
706.1,0.545021744106
706.8,0.556954299229
707.4,0.557900358587
708,0.550499732967
708.6,0.545540550851
709.3,0.551430533303
709.9,0.561654077974
710.5,0.55503166247
711.2,0.542595559625
711.8,0.530052643626
712.4,0.526405737392
713,0.525139238575
713.7,0.517341878386
714.3,0.507927061875
714.9,0.490516517891
715.6,0.451804379339
716.2,0.398809796292
716.8,0.342915999084
717.5,0.342732890822
718.1,0.340260929274
718.7,0.332036316472
719.3,0.362737468528
720,0.382101167315
720.6,0.417212176699
721.2,0.422964827955
721.9,0.416327153429
722.5,0.377889677272
723.1,0.354772259098
723.7,0.361562523842
724.4,0.362157625696
725,0.358022430762
725.6,0.357915617609
726.3,0.377386129549
726.9,0.359746700237
727.5,0.378850995651
728.2,0.358144502937
728.8,0.368169680323
729.4,0.380086976425
730,0.370641641871
730.7,0.381826504921
731.3,0.407263294423
731.9,0.418234531167
732.6,0.423529411765
733.2,0.420874341955
733.8,0.413931486992
734.5,0.410742351415
735.1,0.411673151751
735.7,0.405035477226
736.3,0.416464484627
737,0.420019836728
737.6,0.414190890364
738.2,0.41448081178
738.9,0.416159304189
739.5,0.410757610437
740.1,0.415487907225
740.8,0.405279621576
741.4,0.403814755474
742.1,0.41423666743
742.8,0.407736324102
743.5,0.403036545357
744.2,0.400595101854
744.9,0.398123140307
745.6,0.395300221256
746.3,0.40329594873
746.9,0.390951400015
747.6,0.388265812161
748.3,0.384679942016
749,0.390249485008
749.7,0.381719691768
750.4,0.366414892805
751.1,0.364400701915
751.8,0.365545128557
752.4,0.368688487068
753.1,0.365743495842
753.8,0.363881895171
754.5,0.351262684062
755.2,0.33620202945
755.9,0.337376974136
756.6,0.326024261845
757.3,0.285420004578
757.9,0.243488212406
758.6,0.163851377127
759.3,0.0704356450752
760,0.0453345540551
760.7,0.05583276112
761.4,0.0900892652781
762.1,0.0909285114824
762.8,0.0816510261692
763.4,0.0978408484016
764.1,0.117524986648
764.8,0.165606164645
765.5,0.194018463416
766.2,0.222796978714
766.9,0.247196154726
767.6,0.267154955367
768.3,0.280445563439
768.9,0.288868543526
769.6,0.280064087892
770.3,0.28825818265
771,0.298451209277
771.7,0.295948729686
772.4,0.303242542153
773.1,0.292088197147
773.8,0.294636453803
774.5,0.284138246738
775.1,0.279377431907
775.8,0.2859235523
776.5,0.28921950103
777.2,0.289494163424
777.9,0.277119096666
778.6,0.275638971542
779.3,0.273151750973
780,0.280338750286
780.6,0.271931029221
781.3,0.264957656214
782,0.273136491951
782.7,0.264713511864
783.4,0.258640421149
784.1,0.258075837339
784.8,0.261264972915
785.5,0.250186923018
786.1,0.253376058595
786.8,0.239673456931
787.5,0.241458762493
788.2,0.231067368582
788.9,0.23065537499
789.6,0.226367589837
790.3,0.225894560159
791,0.232135500114
791.6,0.222354467079
792.3,0.226993209735
793,0.211841000992
793.7,0.212100404364
794.4,0.218249790188
795.1,0.218753337911
795.7,0.210391393912
796.4,0.207370107576
797.1,0.208422980087
797.7,0.204089417868
798.4,0.196414129854
799.1,0.204211490043
799.7,0.204776073854
800.4,0.198260471504
801.1,0.191317616541
801.7,0.187335011826
802.4,0.18471046006
803,0.183779659724
803.7,0.174151216907
804.4,0.188128480964
805,0.187426565957
805.7,0.182970931563
806.4,0.181063553826
807,0.17666895552
807.7,0.182101167315
808.3,0.179613946746
809,0.167193102922
809.7,0.164950026703
810.3,0.165148393988
811,0.160845349813
811.7,0.15092698558
812.3,0.146486610208
813,0.13998626688
813.7,0.130525673304
814.3,0.123598077363
815,0.114213778897
815.6,0.10716411078
816.3,0.104249637598
817,0.10812542916
817.6,0.0968032349126
818.3,0.093797207599
819,0.10008392462
819.6,0.100511177234
820.3,0.101808194095
821,0.107606622416
821.6,0.104524299992
822.3,0.105271992065
822.9,0.104890516518
823.6,0.102388036927
824.3,0.0925154497597
824.9,0.0861524376287
825.6,0.0994430457008
826.3,0.1057145037
826.9,0.108705271992
827.6,0.106324864576
